trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",20,10,-46.39898938349588,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",20,11,15.62107871099589,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",20,12,7.964871669940067,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",20,13,11.390724415115585,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",25,12,-1.1966979099823434,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",25,11,8.016096513800942,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.1998876140751445}",25,14,13.416915209091993,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",25,6,-35.121664244009224,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",20,12,11.119299608157043,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",25,8,-11.545195755176005,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,12,6.708982518146046,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",20,10,-6.376590602220597,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",30,12,-10.820087914175527,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",25,18,14.622955910128383,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",25,15,18.536399975520798,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",20,14,12.105097200512882,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",25,11,20.450705231630657,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",30,19,9.877484476019962,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,6,15.86014532811634,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",30,0,16.15766647597063,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",25,11,-39.635659325327346,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
176,False,"{'a': 0.01, 'e': 0.17204486382305054}",25,2,11.8078357713011,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17033298882540943}",30,14,17.694903870588035,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1686381472685955}",20,13,-6.424130003969464,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1669601696670407}",20,16,9.23608071327218,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.16529888822158653}",25,7,19.79267244077247,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16365413680270405}",20,0,21.791004110842803,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
182,False,"{'a': 0.01, 'e': 0.16202575093388075}",20,7,21.925881057189788,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
